#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sat Sep 09 16:02:02 EDT 2017,94,94,Assignment1Suite,ClearTest0+ ClearTest1+ EverythingTest0+ GetTest0+ InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3+ RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest0+ SizeTest1+ SizeTest2+ SizeTest3+ , ,GetTest1- , 
1,Sat Sep 09 16:10:34 EDT 2017,94,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,GetTest1 , 
2,Sat Sep 09 16:19:52 EDT 2017,100,6,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1+ InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , 
3,Sat Sep 09 16:30:32 EDT 2017,100,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , 
4,Sat Sep 09 16:38:59 EDT 2017,100,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , 
